0[[2, 2, 7, 13, 4], [4, 10, 7, 9, 11], [11, 9, 3, 11, 2], [6, 0, 10, 12, 0], [9, 2, 9, 14, 5]]
173[[11, 0, 11, 11, 10], [13, 11, 5, 0, 1], [8, 5, 2, 10, 4], [14, 3, 4, 5, 7], [3, 10, 3, 2, 12]]

174[[7, 8, 9, 13, 9], [1, 0, 6, 10, 13], [13, 4, 14, 7, 7], [12, 8, 1, 6, 13], [4, 5, 4, 4, 12]]

175[[14, 3, 3, 12, 13], [12, 5, 3, 7, 4], [0, 2, 3, 13, 2], [11, 3, 13, 11, 3], [0, 9, 1, 8, 10]]

176[[1, 11, 5, 9, 8], [5, 0, 7, 0, 6], [8, 14, 3, 11, 4], [13, 14, 8, 4, 4], [2, 4, 13, 3, 5]]

177[[4, 12, 12, 12, 14], [2, 11, 1, 11, 4], [9, 5, 0, 5, 9], [1, 12, 4, 2, 0], [9, 8, 5, 11, 12]]

178[[7, 2, 9, 2, 6], [6, 8, 14, 13, 0], [2, 7, 8, 12, 11], [3, 7, 6, 6, 5], [11, 1, 12, 11, 5]]

179[[9, 9, 10, 7, 10], [5, 6, 11, 13, 14], [12, 6, 13, 5, 0], [0, 10, 11, 5, 14], [3, 1, 11, 4, 9]]

180[[0, 6, 13, 0, 7], [8, 2, 6, 6, 10], [4, 7, 1, 7, 2], [3, 5, 12, 14, 8], [6, 13, 10, 7, 14]]

181[[12, 14, 11, 10, 12], [9, 6, 9, 0, 8], [10, 0, 7, 4, 0], [5, 9, 2, 11, 6], [11, 1, 1, 4, 3]]

182[[13, 0, 5, 8, 1], [11, 14, 6, 7, 10], [6, 3, 0, 11, 13], [11, 7, 4, 4, 10], [1, 13, 8, 9, 9]]

183[[4, 10, 6, 11, 7], [14, 9, 5, 4, 6], [11, 8, 6, 14, 12], [12, 10, 12, 3, 2], [8, 6, 5, 3, 9]]

184[[13, 12, 8, 12, 11], [6, 3, 6, 0, 10], [10, 14, 1, 0, 7], [1, 1, 8, 1, 1], [4, 2, 6, 14, 3]]

185[[6, 10, 3, 7, 1], [12, 13, 0, 11, 3], [11, 10, 5, 3, 4], [12, 7, 14, 4, 14], [12, 5, 12, 13, 8]]

186[[13, 0, 6, 5, 12], [14, 8, 9, 1, 1], [7, 4, 4, 3, 6], [5, 4, 0, 4, 5], [12, 6, 5, 1, 0]]

187[[6, 6, 10, 10, 2], [14, 10, 8, 10, 1], [12, 0, 13, 2, 3], [0, 10, 8, 12, 2], [6, 0, 12, 13, 8]]

188[[7, 13, 14, 1, 10], [4, 11, 1, 14, 8], [1, 13, 4, 5, 1], [2, 5, 7, 13, 12], [12, 11, 6, 14, 9]]

189[[11, 7, 11, 3, 9], [6, 6, 6, 10, 13], [0, 12, 13, 8, 3], [13, 3, 6, 6, 7], [5, 4, 9, 13, 9]]

190[[9, 10, 0, 4, 6], [9, 11, 11, 2, 0], [13, 7, 12, 8, 13], [0, 11, 11, 14, 14], [5, 13, 8, 8, 9]]

191[[4, 0, 8, 4, 14], [8, 13, 7, 11, 6], [3, 5, 1, 5, 12], [10, 8, 7, 14, 4], [14, 3, 2, 7, 10]]

192[[10, 4, 13, 2, 4], [3, 0, 3, 12, 14], [11, 13, 6, 4, 13], [10, 10, 4, 10, 9], [8, 4, 12, 5, 3]]

193[[10, 0, 2, 4, 0], [8, 11, 1, 4, 0], [3, 14, 10, 11, 2], [14, 13, 10, 2, 0], [14, 4, 6, 2, 5]]

194[[4, 9, 2, 8, 13], [7, 0, 0, 9, 0], [10, 5, 12, 0, 9], [6, 0, 4, 10, 14], [7, 6, 5, 6, 0]]

195[[8, 6, 0, 10, 0], [8, 11, 8, 6, 8], [2, 0, 9, 3, 6], [7, 2, 5, 1, 3], [13, 4, 10, 13, 9]]

196[[5, 11, 12, 9, 11], [8, 1, 11, 7, 12], [1, 0, 8, 1, 9], [10, 0, 1, 12, 12], [13, 3, 13, 5, 8]]

197[[8, 11, 8, 4, 12], [14, 10, 9, 10, 7], [9, 2, 6, 4, 7], [9, 14, 2, 10, 2], [6, 1, 0, 12, 3]]

198[[12, 5, 11, 12, 11], [11, 5, 6, 12, 3], [10, 3, 0, 0, 6], [14, 2, 5, 4, 6], [5, 6, 7, 11, 10]]

199[[4, 7, 0, 10, 9], [8, 5, 7, 11, 14], [11, 13, 12, 9, 13], [3, 7, 13, 13, 11], [7, 2, 9, 1, 8]]

200[[0, 10, 10, 14, 7], [1, 6, 13, 4, 2], [3, 3, 7, 12, 8], [7, 0, 14, 11, 5], [13, 12, 9, 1, 11]]

201[[10, 10, 11, 8, 5], [8, 12, 4, 5, 12], [9, 9, 10, 2, 9], [5, 12, 2, 10, 8], [4, 7, 3, 8, 9]]

202[[6, 12, 1, 5, 13], [11, 0, 4, 5, 5], [4, 4, 6, 3, 4], [8, 6, 6, 9, 13], [6, 13, 7, 14, 0]]

203[[9, 0, 9, 3, 13], [7, 6, 7, 0, 4], [6, 7, 13, 5, 8], [1, 7, 13, 13, 8], [5, 13, 0, 1, 12]]

204[[6, 12, 3, 2, 5], [2, 3, 4, 13, 11], [13, 13, 8, 3, 3], [13, 11, 5, 10, 0], [14, 2, 0, 10, 10]]

205[[7, 8, 6, 8, 6], [10, 0, 10, 3, 10], [2, 9, 8, 5, 8], [8, 7, 2, 14, 11], [9, 6, 8, 3, 11]]

206[[1, 2, 3, 4, 10], [9, 5, 13, 2, 4], [13, 12, 14, 14, 4], [13, 7, 10, 3, 2], [13, 10, 2, 6, 7]]

207[[8, 0, 13, 14, 6], [7, 8, 9, 0, 3], [9, 2, 8, 7, 10], [8, 5, 5, 2, 1], [6, 5, 8, 14, 1]]

[[4, 4, 3, 12, 6], [4, 9, 3, 12, 8], [0, 10, 1, 11, 11], [9, 14, 6, 2, 3], [1, 1, 11, 2, 7]]

209[[2, 13, 10, 1, 5], [3, 8, 1, 12, 8], [0, 7, 6, 3, 1], [1, 11, 13, 12, 12], [1, 9, 7, 10, 9]]

210[[6, 3, 6, 11, 6], [6, 2, 13, 1, 14], [13, 11, 2, 4, 9], [13, 13, 3, 9, 12], [9, 10, 7, 1, 6]]

211[[6, 12, 2, 10, 0], [10, 4, 6, 14, 11], [11, 7, 4, 10, 12], [2, 10, 14, 9, 8], [0, 12, 1, 1, 10]]

[[8, 10, 11, 7, 10], [3, 10, 9, 10, 2], [8, 0, 12, 12, 5], [10, 11, 3, 1, 6], [0, 1, 2, 14, 0]]

213[[9, 2, 1, 3, 2], [1, 9, 5, 13, 6], [3, 3, 2, 8, 11], [11, 1, 4, 7, 14], [9, 0, 8, 14, 14]]

214[[7, 14, 14, 11, 11], [2, 14, 8, 5, 6], [2, 8, 14, 12, 10], [9, 11, 14, 14, 5], [4, 12, 12, 6, 11]]

215[[0, 11, 9, 2, 13], [12, 0, 14, 13, 6], [10, 9, 12, 12, 11], [8, 11, 2, 3, 6], [5, 3, 7, 2, 9]]

216[[10, 9, 10, 0, 1], [4, 1, 12, 0, 4], [7, 12, 9, 1, 12], [9, 1, 9, 4, 2], [4, 8, 10, 10, 1]]

217[[10, 2, 6, 8, 8], [6, 11, 3, 3, 10], [6, 9, 12, 10, 2], [3, 5, 2, 11, 6], [8, 2, 11, 0, 7]]

218[[8, 6, 10, 6, 11], [11, 1, 3, 0, 2], [8, 14, 8, 9, 9], [1, 8, 4, 10, 4], [5, 11, 9, 4, 1]]

219[[3, 9, 6, 6, 6], [1, 3, 5, 11, 0], [4, 10, 1, 12, 14], [10, 3, 6, 5, 3], [7, 6, 7, 14, 12]]

220[[6, 3, 9, 7, 5], [12, 14, 9, 2, 8], [8, 13, 1, 6, 6], [2, 2, 8, 9, 9], [7, 9, 6, 13, 7]]

221[[4, 2, 7, 1, 2], [11, 12, 0, 14, 7], [10, 5, 6, 5, 2], [12, 5, 3, 14, 6], [10, 12, 10, 3, 12]]

222[[13, 12, 8, 11, 7], [1, 14, 6, 5, 14], [12, 7, 6, 4, 13], [4, 2, 1, 0, 14], [10, 2, 14, 13, 11]]

223[[0, 3, 13, 9, 10], [13, 8, 4, 3, 6], [11, 7, 14, 2, 0], [9, 2, 11, 10, 0], [6, 11, 5, 0, 12]]

224[[6, 9, 9, 14, 8], [5, 8, 4, 2, 10], [6, 5, 12, 7, 3], [0, 13, 4, 1, 7], [6, 11, 9, 8, 2]]

225[[13, 7, 12, 10, 3], [10, 6, 12, 5, 10], [8, 8, 2, 11, 10], [4, 6, 14, 2, 1], [3, 10, 13, 2, 3]]

226[[6, 14, 12, 10, 4], [3, 11, 13, 9, 8], [2, 6, 13, 9, 12], [8, 7, 11, 2, 3], [8, 5, 2, 5, 0]]

227[[3, 5, 14, 3, 4], [12, 0, 6, 11, 9], [8, 14, 6, 6, 12], [11, 13, 12, 3, 12], [6, 10, 14, 7, 14]]

228[[0, 11, 8, 3, 5], [13, 0, 10, 10, 13], [6, 7, 0, 6, 2], [3, 6, 11, 6, 6], [8, 4, 11, 5, 4]]

229[[4, 9, 5, 2, 5], [3, 6, 9, 1, 8], [7, 4, 8, 11, 8], [8, 5, 13, 12, 0], [9, 12, 8, 12, 9]]

230[[7, 9, 3, 0, 10], [0, 5, 6, 0, 8], [4, 2, 1, 5, 1], [5, 13, 3, 14, 7], [10, 5, 11, 2, 13]]

231[[9, 0, 2, 3, 4], [13, 3, 2, 7, 4], [12, 3, 14, 3, 5], [3, 10, 5, 12, 1], [4, 5, 5, 12, 13]]

232[[1, 12, 9, 3, 6], [10, 14, 2, 0, 9], [6, 2, 14, 1, 3], [3, 2, 6, 1, 6], [0, 14, 14, 5, 5]]

233[[3, 1, 13, 2, 1], [10, 0, 4, 11, 13], [11, 14, 11, 5, 5], [14, 0, 3, 5, 2], [5, 9, 6, 5, 8]]

234[[12, 10, 2, 13, 2], [5, 9, 8, 4, 12], [7, 12, 5, 4, 10], [14, 10, 6, 2, 11], [6, 13, 7, 14, 7]]

235[[9, 2, 11, 4, 4], [1, 2, 1, 3, 5], [4, 14, 6, 12, 2], [6, 0, 2, 9, 5], [4, 5, 1, 3, 10]]

236[[6, 12, 2, 13, 7], [2, 12, 9, 11, 9], [6, 5, 12, 14, 3], [6, 5, 8, 10, 3], [10, 12, 14, 10, 8]]

237[[11, 14, 4, 9, 7], [1, 9, 7, 12, 6], [13, 13, 11, 5, 12], [8, 2, 2, 9, 14], [5, 2, 13, 3, 4]]

238[[12, 8, 12, 9, 6], [9, 6, 14, 0, 13], [3, 10, 1, 6, 14], [14, 3, 6, 3, 6], [1, 6, 11, 3, 6]]

239[[12, 3, 14, 0, 14], [5, 0, 11, 9, 8], [7, 10, 9, 7, 6], [5, 2, 9, 4, 1], [13, 4, 2, 1, 14]]

240[[13, 12, 14, 9, 0], [4, 14, 9, 9, 12], [8, 11, 10, 5, 6], [1, 4, 11, 8, 12], [1, 14, 11, 11, 0]]

241[[5, 10, 5, 4, 7], [8, 10, 14, 1, 9], [11, 7, 7, 11, 0], [11, 14, 13, 2, 0], [10, 6, 5, 12, 8]]

242[[1, 11, 4, 9, 4], [9, 12, 14, 6, 11], [7, 9, 2, 9, 3], [10, 13, 9, 10, 11], [11, 2, 10, 6, 2]]

243[[5, 9, 4, 5, 2], [8, 2, 13, 7, 13], [11, 9, 9, 12, 3], [11, 9, 2, 10, 12], [14, 8, 5, 10, 12]]

244[[12, 11, 14, 0, 6], [14, 8, 10, 13, 12], [14, 11, 3, 7, 14], [7, 4, 9, 3, 11], [1, 1, 11, 2, 1]]

245[[12, 1, 0, 9, 3], [2, 2, 0, 5, 12], [5, 6, 14, 0, 11], [2, 14, 10, 10, 0], [2, 8, 9, 8, 9]]

246[[2, 0, 1, 12, 12], [9, 11, 6, 6, 1], [0, 14, 10, 5, 14], [3, 1, 8, 14, 10], [8, 1, 13, 7, 2]]

247[[5, 6, 0, 3, 3], [1, 12, 2, 14, 0], [5, 2, 8, 2, 12], [14, 3, 12, 0, 9], [1, 10, 6, 4, 12]]

248[[11, 3, 4, 5, 2], [9, 5, 12, 6, 3], [0, 12, 9, 0, 1], [0, 10, 11, 5, 1], [1, 7, 11, 11, 1]]

249[[14, 5, 3, 3, 10], [0, 12, 12, 10, 3], [6, 14, 4, 11, 6], [4, 14, 0, 13, 13], [7, 9, 1, 3, 0]]

250[[8, 7, 14, 2, 13], [14, 3, 0, 7, 6], [3, 5, 13, 4, 4], [12, 5, 8, 5, 5], [13, 11, 6, 11, 5]]

251[[6, 10, 4, 14, 3], [13, 10, 13, 0, 7], [13, 14, 5, 8, 13], [7, 6, 5, 1, 11], [8, 1, 1, 0, 0]]

252[[8, 2, 0, 1, 2], [1, 1, 4, 0, 12], [2, 1, 14, 1, 8], [11, 0, 6, 12, 14], [14, 14, 2, 12, 5]]

253[[11, 9, 4, 0, 14], [8, 14, 5, 1, 0], [14, 9, 5, 0, 12], [14, 9, 1, 13, 3], [2, 7, 7, 9, 4]]

254[[10, 3, 9, 13, 2], [14, 6, 2, 14, 4], [3, 5, 0, 10, 5], [2, 10, 5, 14, 10], [6, 14, 2, 12, 4]]

[[14, 0, 5, 6, 10], [3, 4, 4, 11, 1], [14, 1, 10, 2, 1], [7, 13, 13, 0, 13], [14, 9, 10, 6, 7]]

256[[4, 12, 2, 1, 2], [8, 3, 7, 14, 1], [2, 14, 6, 4, 0], [1, 13, 5, 0, 14], [10, 13, 4, 2, 0]]

257[[7, 2, 3, 11, 6], [14, 5, 0, 5, 13], [7, 6, 14, 13, 1], [8, 4, 5, 13, 8], [5, 2, 4, 11, 5]]

258[[3, 14, 7, 13, 6], [12, 8, 14, 3, 11], [7, 3, 4, 8, 11], [1, 10, 8, 2, 8], [7, 2, 11, 1, 4]]

259[[10, 1, 14, 2, 7], [7, 3, 0, 12, 0], [12, 5, 8, 0, 7], [11, 9, 10, 4, 1], [1, 11, 0, 5, 7]]

260[[14, 1, 8, 1, 9], [8, 8, 12, 0, 14], [5, 10, 2, 1, 9], [13, 0, 9, 1, 11], [3, 11, 6, 9, 9]]

261[[11, 5, 9, 10, 9], [11, 14, 1, 13, 4], [12, 5, 1, 10, 14], [11, 3, 9, 10, 11], [8, 10, 6, 5, 3]]

262[[11, 9, 0, 4, 9], [7, 11, 10, 13, 5], [6, 7, 9, 4, 3], [12, 11, 5, 7, 9], [6, 1, 0, 0, 9]]

263[[7, 6, 7, 3, 12], [12, 14, 11, 3, 7], [3, 8, 1, 10, 1], [7, 7, 9, 5, 0], [2, 5, 13, 0, 3]]

264[[6, 9, 9, 4, 6], [6, 14, 6, 8, 10], [9, 5, 10, 1, 8], [8, 1, 1, 0, 10], [8, 8, 8, 2, 4]]

265[[12, 5, 12, 1, 8], [7, 13, 14, 14, 14], [1, 1, 5, 1, 0], [10, 14, 10, 3, 13], [9, 14, 3, 14, 0]]

266[[0, 8, 7, 8, 6], [7, 0, 1, 4, 14], [14, 8, 3, 6, 14], [5, 4, 4, 3, 3], [10, 2, 1, 6, 9]]

267[[8, 2, 9, 12, 0], [0, 11, 13, 10, 7], [8, 4, 13, 11, 14], [6, 10, 3, 14, 7], [6, 5, 7, 5, 1]]

268[[13, 0, 10, 13, 13], [2, 4, 5, 8, 3], [12, 4, 10, 1, 0], [11, 10, 7, 5, 5], [7, 7, 10, 14, 2]]

269[[4, 14, 8, 1, 8], [10, 1, 14, 0, 4], [5, 8, 7, 1, 6], [6, 7, 13, 7, 7], [13, 9, 13, 11, 12]]

270[[7, 4, 9, 3, 8], [13, 12, 3, 13, 2], [6, 7, 0, 11, 1], [2, 10, 5, 1, 0], [1, 10, 3, 3, 13]]

271[[4, 3, 2, 14, 6], [1, 5, 3, 10, 5], [8, 3, 6, 4, 3], [10, 1, 6, 12, 7], [5, 3, 12, 2, 1]]

272[[5, 10, 6, 1, 6], [2, 10, 6, 7, 4], [7, 10, 1, 2, 7], [8, 6, 1, 1, 11], [7, 4, 3, 2, 1]]

[[2, 5, 11, 6, 12], [13, 4, 9, 14, 12], [0, 10, 10, 13, 9], [9, 1, 2, 9, 9], [0, 4, 0, 3, 13]]

274[[9, 7, 6, 4, 11], [7, 1, 7, 5, 8], [6, 8, 8, 2, 9], [6, 13, 2, 2, 5], [14, 13, 13, 10, 3]]

275[[4, 13, 3, 11, 2], [9, 3, 3, 13, 3], [2, 3, 9, 13, 10], [3, 5, 7, 3, 13], [12, 7, 0, 2, 3]]

276[[6, 4, 14, 13, 8], [3, 13, 12, 2, 9], [6, 3, 6, 5, 8], [6, 13, 6, 12, 0], [6, 11, 1, 10, 13]]

277[[13, 7, 5, 4, 11], [4, 3, 14, 14, 10], [14, 10, 12, 1, 4], [6, 5, 4, 5, 12], [11, 1, 7, 5, 8]]

278[[3, 13, 7, 1, 4], [0, 11, 6, 6, 3], [5, 7, 7, 14, 2], [3, 2, 2, 13, 6], [6, 1, 9, 2, 4]]

279[[4, 5, 11, 0, 6], [9, 0, 4, 0, 13], [4, 0, 10, 1, 0], [5, 11, 9, 0, 9], [8, 4, 9, 6, 9]]

280[[6, 0, 5, 11, 9], [1, 4, 1, 4, 4], [8, 5, 13, 8, 1], [3, 2, 1, 14, 7], [0, 6, 14, 4, 2]]

281[[0, 12, 13, 6, 1], [2, 11, 4, 10, 10], [6, 1, 14, 11, 10], [8, 1, 4, 7, 4], [4, 9, 1, 14, 4]]

282[[3, 12, 0, 10, 12], [0, 9, 7, 4, 14], [4, 12, 12, 5, 9], [7, 10, 11, 1, 4], [13, 11, 2, 10, 12]]

283[[3, 5, 2, 14, 1], [4, 14, 5, 10, 8], [13, 7, 9, 1, 0], [11, 14, 14, 10, 2], [0, 2, 9, 14, 13]]

284[[6, 1, 2, 9, 6], [13, 10, 0, 10, 7], [2, 14, 8, 2, 1], [13, 3, 3, 8, 6], [0, 0, 3, 12, 14]]

285[[4, 7, 13, 2, 4], [1, 7, 7, 10, 3], [9, 2, 3, 13, 2], [7, 3, 0, 8, 4], [3, 6, 14, 7, 1]]

286[[0, 11, 10, 13, 3], [12, 11, 13, 9, 8], [3, 5, 5, 0, 7], [13, 7, 0, 6, 0], [9, 7, 12, 14, 8]]

287[[10, 10, 10, 6, 8], [1, 4, 4, 14, 2], [10, 7, 1, 12, 8], [3, 6, 6, 1, 8], [6, 1, 5, 1, 14]]

288[[8, 0, 1, 6, 3], [9, 1, 2, 0, 11], [4, 2, 14, 0, 10], [6, 11, 11, 4, 13], [5, 3, 4, 8, 14]]

289[[0, 3, 10, 4, 14], [14, 13, 8, 9, 13], [8, 14, 5, 11, 1], [9, 10, 14, 0, 8], [6, 12, 6, 8, 4]]

290[[10, 10, 8, 9, 11], [14, 9, 10, 10, 10], [6, 1, 4, 7, 13], [8, 7, 8, 3, 8], [3, 2, 9, 5, 7]]

291[[12, 2, 13, 12, 5], [7, 7, 3, 7, 12], [3, 11, 6, 6, 7], [11, 11, 2, 1, 3], [8, 7, 11, 10, 12]]

292[[14, 5, 1, 1, 6], [8, 3, 11, 12, 3], [7, 3, 0, 8, 4], [12, 2, 4, 9, 3], [12, 4, 14, 8, 5]]

293[[7, 4, 13, 3, 10], [0, 11, 12, 6, 5], [12, 6, 4, 12, 0], [7, 11, 2, 12, 3], [2, 8, 1, 2, 13]]

294[[3, 11, 10, 6, 3], [8, 8, 5, 2, 14], [5, 11, 1, 1, 2], [5, 11, 3, 10, 12], [6, 10, 8, 8, 6]]

295[[12, 0, 11, 5, 10], [12, 7, 8, 1, 9], [5, 6, 5, 14, 0], [14, 4, 12, 9, 4], [5, 1, 7, 7, 8]]

296[[7, 6, 5, 14, 0], [3, 13, 6, 13, 9], [7, 5, 12, 10, 13], [10, 8, 8, 2, 9], [8, 11, 6, 4, 5]]

297[[4, 4, 12, 9, 13], [1, 5, 10, 14, 12], [3, 10, 13, 10, 13], [4, 0, 9, 0, 2], [9, 10, 14, 4, 7]]

298[[3, 10, 2, 4, 3], [11, 13, 10, 10, 8], [5, 9, 5, 11, 11], [11, 7, 7, 0, 12], [12, 2, 5, 14, 9]]

299[[14, 12, 4, 7, 9], [0, 2, 3, 3, 4], [6, 7, 8, 11, 1], [3, 11, 13, 14, 0], [2, 12, 11, 14, 2]]

300[[9, 1, 9, 5, 12], [4, 6, 11, 10, 9], [1, 3, 9, 3, 8], [10, 1, 4, 6, 14], [5, 12, 5, 8, 12]]

301[[2, 12, 4, 4, 0], [4, 7, 14, 4, 14], [0, 13, 4, 10, 14], [7, 14, 14, 8, 13], [2, 6, 8, 5, 8]]

302[[7, 1, 0, 11, 3], [13, 0, 9, 9, 11], [13, 12, 4, 10, 10], [3, 5, 14, 4, 4], [7, 5, 1, 6, 0]]

303[[12, 11, 2, 1, 2], [11, 0, 1, 6, 6], [7, 10, 0, 8, 14], [2, 9, 12, 12, 10], [13, 6, 3, 5, 12]]

304[[12, 5, 7, 5, 8], [8, 4, 13, 4, 4], [1, 11, 6, 7, 3], [1, 13, 4, 11, 12], [1, 0, 14, 12, 14]]

305[[6, 7, 0, 12, 6], [0, 7, 10, 14, 5], [3, 2, 5, 11, 8], [14, 6, 14, 12, 8], [5, 10, 8, 4, 7]]

306[[3, 5, 12, 12, 3], [12, 9, 12, 11, 8], [6, 2, 9, 4, 12], [9, 5, 13, 7, 6], [10, 7, 9, 0, 9]]

307[[5, 7, 4, 3, 5], [6, 5, 14, 13, 1], [7, 12, 7, 13, 3], [10, 8, 5, 6, 12], [10, 11, 10, 14, 14]]

308[[13, 10, 1, 1, 6], [13, 2, 13, 11, 3], [8, 0, 4, 1, 1], [14, 1, 2, 9, 11], [1, 13, 0, 11, 8]]

309[[13, 7, 8, 10, 14], [8, 2, 12, 10, 11], [12, 10, 1, 0, 9], [14, 5, 0, 12, 13], [8, 11, 6, 9, 13]]

310[[6, 0, 1, 7, 13], [7, 0, 8, 1, 2], [2, 1, 0, 12, 4], [1, 6, 0, 11, 1], [3, 1, 9, 4, 11]]

311[[1, 4, 13, 3, 4], [5, 12, 1, 1, 4], [10, 13, 8, 7, 3], [9, 3, 0, 3, 8], [4, 0, 14, 14, 7]]

312[[4, 14, 6, 0, 11], [7, 2, 7, 7, 6], [2, 13, 8, 11, 3], [4, 10, 14, 1, 1], [1, 2, 12, 1, 0]]

313[[5, 7, 14, 4, 12], [3, 3, 10, 11, 0], [2, 7, 4, 12, 7], [7, 1, 3, 0, 3], [1, 8, 14, 11, 10]]

314[[11, 7, 13, 0, 8], [0, 13, 5, 12, 3], [0, 5, 14, 1, 2], [14, 5, 9, 2, 1], [4, 1, 0, 11, 1]]

315[[11, 1, 4, 8, 13], [8, 3, 5, 1, 0], [0, 1, 8, 1, 6], [14, 3, 14, 0, 7], [4, 10, 6, 1, 6]]

316[[6, 14, 7, 6, 6], [0, 0, 3, 1, 4], [7, 10, 10, 8, 7], [12, 2, 10, 5, 0], [11, 2, 9, 2, 2]]

317[[7, 3, 5, 1, 1], [11, 7, 14, 12, 5], [12, 2, 8, 1, 0], [14, 3, 11, 5, 11], [13, 10, 7, 4, 12]]

318[[7, 2, 4, 5, 7], [4, 0, 4, 14, 12], [7, 3, 3, 9, 1], [12, 1, 3, 2, 5], [13, 1, 8, 3, 5]]

[[0, 4, 10, 2, 0], [10, 6, 5, 13, 14], [0, 8, 1, 8, 11], [4, 9, 4, 10, 5], [7, 13, 5, 10, 5]]

320[[12, 3, 3, 6, 9], [1, 12, 7, 0, 0], [11, 9, 8, 8, 2], [4, 5, 13, 11, 8], [14, 3, 11, 10, 11]]

321[[11, 3, 3, 12, 8], [4, 8, 1, 1, 7], [2, 3, 5, 11, 4], [2, 6, 10, 4, 8], [2, 9, 5, 8, 4]]

322[[7, 7, 1, 9, 2], [6, 7, 2, 1, 3], [14, 3, 7, 13, 5], [1, 4, 7, 8, 5], [12, 9, 3, 0, 8]]

323[[7, 5, 11, 10, 7], [4, 4, 8, 13, 12], [1, 3, 6, 8, 14], [2, 10, 14, 3, 1], [12, 11, 2, 5, 4]]

324[[10, 2, 10, 2, 2], [13, 6, 3, 7, 6], [12, 0, 9, 3, 3], [9, 2, 13, 3, 14], [14, 1, 0, 0, 5]]

325[[6, 5, 0, 11, 7], [2, 11, 9, 13, 5], [14, 9, 8, 0, 4], [3, 13, 12, 12, 8], [0, 14, 1, 0, 8]]

326[[14, 6, 4, 3, 1], [2, 5, 8, 11, 0], [9, 6, 1, 7, 13], [0, 6, 9, 1, 14], [5, 3, 5, 2, 6]]

327[[12, 11, 13, 14, 0], [11, 9, 6, 12, 1], [13, 5, 11, 9, 0], [14, 0, 12, 9, 7], [7, 14, 4, 1, 11]]

328[[5, 8, 0, 5, 8], [10, 7, 5, 10, 9], [11, 6, 11, 11, 14], [10, 10, 7, 13, 0], [1, 1, 7, 11, 5]]

329[[8, 1, 7, 7, 9], [13, 2, 12, 14, 5], [7, 7, 12, 12, 10], [10, 12, 12, 10, 14], [3, 4, 12, 11, 1]]

330[[8, 0, 1, 6, 12], [13, 2, 11, 0, 7], [9, 5, 14, 4, 7], [9, 13, 12, 4, 10], [5, 14, 13, 5, 9]]

331[[6, 3, 12, 2, 10], [10, 5, 7, 13, 9], [14, 5, 9, 1, 1], [5, 14, 7, 10, 6], [8, 6, 10, 13, 2]]

332[[7, 7, 4, 2, 7], [2, 0, 4, 9, 1], [7, 4, 14, 9, 12], [0, 14, 14, 2, 8], [5, 9, 8, 12, 6]]

333[[13, 14, 10, 9, 11], [9, 9, 5, 7, 14], [6, 10, 12, 1, 11], [7, 11, 4, 1, 7], [5, 0, 2, 14, 3]]

334[[0, 7, 6, 6, 10], [8, 8, 12, 2, 10], [5, 8, 14, 10, 10], [0, 6, 4, 1, 10], [13, 3, 3, 14, 1]]

335[[9, 14, 6, 5, 9], [13, 9, 6, 1, 4], [10, 12, 13, 14, 11], [3, 4, 5, 10, 6], [3, 2, 6, 10, 9]]

336[[8, 0, 4, 6, 5], [13, 7, 10, 5, 11], [13, 12, 2, 10, 13], [3, 12, 3, 10, 4], [2, 1, 8, 0, 13]]

337[[11, 11, 11, 4, 13], [11, 7, 8, 4, 11], [9, 12, 2, 13, 14], [4, 11, 14, 1, 4], [6, 9, 14, 14, 7]]

338[[9, 13, 8, 4, 5], [13, 1, 10, 11, 1], [13, 5, 2, 2, 14], [10, 11, 9, 11, 7], [4, 0, 2, 14, 3]]

339[[0, 2, 12, 8, 10], [12, 10, 8, 4, 13], [1, 10, 12, 13, 1], [2, 11, 5, 10, 14], [9, 3, 10, 8, 12]]

340[[2, 9, 14, 1, 7], [5, 2, 14, 6, 11], [11, 5, 14, 4, 2], [2, 4, 14, 3, 13], [9, 11, 13, 12, 0]]

341[[7, 5, 12, 5, 13], [2, 11, 4, 3, 8], [5, 6, 11, 11, 9], [2, 14, 11, 4, 13], [1, 3, 9, 8, 0]]

342[[0, 4, 3, 11, 3], [14, 0, 7, 12, 11], [10, 1, 1, 2, 3], [9, 11, 6, 2, 0], [8, 10, 4, 11, 13]]

343[[4, 9, 7, 2, 12], [5, 1, 11, 1, 1], [11, 1, 10, 14, 13], [4, 2, 9, 2, 0], [2, 4, 6, 12, 13]]

344[[5, 8, 10, 3, 3], [0, 3, 5, 4, 14], [11, 5, 13, 10, 13], [0, 10, 7, 2, 8], [13, 7, 14, 8, 12]]

345[[11, 10, 12, 14, 2], [10, 14, 1, 5, 14], [8, 7, 4, 4, 13], [7, 13, 9, 7, 6], [1, 11, 8, 9, 14]]

346[[5, 5, 6, 1, 11], [4, 3, 9, 0, 8], [4, 2, 8, 4, 2], [3, 8, 7, 11, 2], [5, 0, 5, 11, 9]]

